"","Cell Type","Count"
"1","Astro L1-6 FGFR3 AQP1",116
"2","Astro L1-6 FGFR3 PLCG1",12
"3","Endo L2-5 NOSTRIN SRGN",657
"4","Micro L1-6 TYROBP CD74",12592
"5","VLMC L1-5 PDGFRA COLEC12",17
