"","Cell Type","Count"
"1","Astro L1-6 FGFR3 AQP1",137
"2","Astro L1-6 FGFR3 PLCG1",79
"3","Endo L2-5 NOSTRIN SRGN",872
"4","Exc L2 LINC00507 GLRA3",1020
"5","Exc L3-5 RORB LNX2",10
"6","Inh L1-5 VIP SMOC1",1064
"7","Inh L1 PAX6 CHRFAM7A",2
"8","Micro L1-6 TYROBP CD74",676
"9","Oligo L2-6 OPALIN FTH1P3",15
"10","OPC L1-6 PDGFRA COL20A1",123
"11","VLMC L1-5 PDGFRA COLEC12",15028
