"","Cell Type","Count"
"1","Astro L1-6 FGFR3 AQP1",1214
"2","Endo L2-5 NOSTRIN SRGN",92
"3","Exc L3-5 RORB LNX2",9832
"4","Exc L3-5 RORB RPRM",1013
"5","Micro L1-6 TYROBP CD74",179
"6","Oligo L2-6 OPALIN FTH1P3",85
"7","VLMC L1-5 PDGFRA COLEC12",212
