"","Cell Type","Count"
"1","Astro L1-6 FGFR3 AQP1",773
"2","Endo L2-5 NOSTRIN SRGN",14
"3","Exc L2 LINC00507 GLRA3",7969
"4","Exc L3-5 RORB LNX2",693
"5","Exc L3-5 RORB RPRM",187
"6","Exc L5-6 FEZF2 C9orf135-AS1",3735
"7","Micro L1-6 TYROBP CD74",101
"8","Oligo L2-6 OPALIN FTH1P3",193
"9","VLMC L1-5 PDGFRA COLEC12",560
