"","Cell Type","Count"
"1","Astro L1-6 FGFR3 AQP1",999
"2","Endo L2-5 NOSTRIN SRGN",35
"3","Exc L3-5 RORB LNX2",9302
"4","Exc L3-5 RORB RPRM",556
"5","Micro L1-6 TYROBP CD74",170
"6","Oligo L2-6 OPALIN FTH1P3",42
"7","OPC L1-6 PDGFRA COL20A1",2
"8","VLMC L1-5 PDGFRA COLEC12",881
