"","Cell Type","Count"
"1","Astro L1-6 FGFR3 AQP1",799
"2","Endo L2-5 NOSTRIN SRGN",16
"3","Exc L2 LINC00507 GLRA3",8446
"4","Exc L3-5 RORB LNX2",568
"5","Exc L3-5 RORB RPRM",67
"6","Exc L3 LAMP5 CARM1P1",2452
"7","Exc L5-6 FEZF2 C9orf135-AS1",1179
"8","Micro L1-6 TYROBP CD74",100
"9","Oligo L2-6 OPALIN FTH1P3",241
"10","VLMC L1-5 PDGFRA COLEC12",502
