"","Cell Type","Count"
"1","Astro L1-6 FGFR3 AQP1",6
"2","Astro L1-6 FGFR3 PLCG1",18
"3","Endo L2-5 NOSTRIN SRGN",3
"4","Inh L1-5 VIP SMOC1",1647
"5","Micro L1-6 TYROBP CD74",6
"6","OPC L1-6 PDGFRA COL20A1",27
"7","VLMC L1-5 PDGFRA COLEC12",3
