"","Cell Type","Count"
"1","Astro L1-6 FGFR3 AQP1",70
"2","Endo L2-5 NOSTRIN SRGN",10
"3","Exc L3-5 RORB RPRM",16570
"4","Micro L1-6 TYROBP CD74",65
"5","Oligo L2-6 OPALIN FTH1P3",97
"6","OPC L1-6 PDGFRA COL20A1",70
"7","VLMC L1-5 PDGFRA COLEC12",19
